SURNAMES,MALE,FEMALE,
Barbo,Antinous,Antonia,
Barbosa,Antiochus,Antxone,
Barbu,Antipatris,Antziasko,
Barbusse,Antipatros,Anunciacion,
Bardelli,Antiphales,Anyes,
Bardha,Antiphones,Anysia,
Bardhi,Antiphus,Anzoy,
Bardi,Antisthenes,Apain,
Bardot,Antoinne,Apala,
Bardou,Anton,Apeline,
Bardulla,Antoni,Aplin,
Bare,Antonius,Apoline,
Bareau,Antonius Tone,Appa,
Barentse,Antony,Applin,
Barentstochter,Antoynel,Appolina,
Barentsze,Antso,Appollonia,
Bari,Antton,Apseudes,
Bariani,Antxoka,Araba,
Barichello,Antyaume,Arabella,
Barinaga,Anysus,Arabia,
Barkai,Anytos,Arable,
Barkentin,Anytus,Aragundia,
Barlini,Aoric,Araitz,
Barna,Apahida,Arama,
Barneveld,Apal,Arana,
Barnutiu,Apat,Arandon,
Barola,Apelles,Arantxa,
Baroncelli,Apellicon,Arantza,
Baronti,Aphidnos,Arantzazu,
Barrachina,Api,Aránzazu,
Barres,Apisaon,Araoz,
Barret,Apollodoros,Arbeiza,
Barreto,Apollophanes,Arbekoa,
Barretti,Apollos,Arbell,
Barrios,Arabante,Arbella,
Barros,Arabo,Arburua,
Barrutia,Araimfres,Areagne,
Bársony,Aralar,Areitio,
Bartels,Arano,Areria,
Barth,Aranold,Arete,
Barthez,Arapeta,Arethusa,
Bartholds,Aratus,Argeia,
Bartholdy,Aratz,Argentea,
Bartholf,Arbert,Argentina,
Barthou,Arbitio,Argi,
Bartoccini,Arbogast,Argie,
Bartok,Arbogastes,Argiloain,
Bartolf,Arcadius,Ariadne,
Bartoli,Arcas,Arianna,
Bartolini,Arcavius,Arie,
Bartolone,Arcebaldus,Arima,
Barturen,Arcenbaldus,Arisbe,
Bary,Arcesilaus,Aristonike,
Basaglia,Archagoras,Aristophane,
Basagoitia,Archambaud,Ariturri,
Basalini,Archel,Aritzaga,
Basanez,Archelaos,Aritzeta,
Basile,Archembald,Arkija,
Basirius,Archeptolemus,Arlas,
Baskaran,Archesilaus,Arlette,
Basler,Archestratidas,Arluzea,
Basnage,Archetel,Armedaa,
Bassano,Archil,Armentaria,
Basset,Archilochus,Armigil,
Bassiere,Archimbalt,Armola,
Bassis,Archytas,Arnaude,
Bastarretxea,Arcidamus,Arnotegi,
Bastedo,Arcturus,Aroha,
Bastegieta,Arculf,Arraitz,
Bastiani,Ardabur,Arrako,
Bastida,Ardaric,Arrate,
Bastide,Ardoin,Arrazubi,
Bastnagel,Areilycus,Arrene,
Bastos,Areisius,Arreo,
Batchev,Areithous,Arriaka,
Batens,Arenvald,Arrieta,
Bateu,Aresti,Arrigorria,
Báthory,Argades,Arriluzea,
Batiffol,Argaeus,Arritokieta,
Batistuta,Argaith,Arrixaka,
Batlle,Argi,Arrizabalaga,
Batoni,Argider,Arrosa,
Battaglia,Argina,Arsinoe,
Batte,Argoitz,Artaynta,
Batticelli,Argos,Artazostra,
Battistella,Ariald,Artea,
Battllori,Ariaric,Artederreta,
Bauchennss,Aribert,Artemidora,
Baudart,Arichis,Artemisia,
Baudelaire,Aridolis,Artiga,
Baudendistel,Arimir,Artiza,
Baudet,Arioald,Artizar,
Baudouin,Arion,Artystone,
Baudry,Aripert,Artzanegi,
Bauer,Ariphron,Artzeina,
Baujot,Aristaeus,Asa,
Bauldry,Aristagoras,Ascelina,
Baumgaertel,Aristaios,Asceline,
Baumgart,Aristandros,Ascelinne,
Baumont,Aristarchos,Ascelot,
Baumschlager,Aristarchus,Aschilt,
Baune,Aristides,Ascilia,
Bauquemare,Aristion,Ashena,
Baur,Aristippus,Asiturri,
Baus,Aristoboulos,Askoa,
Bautain,Aristobulus,Aspasia,
Bauwens,Aristocles,Asselyna,
Bavent,Aristocypros,Assuncion,
Baxterrika,Aristodemos,Astera,
Bayens,Aristogeiton,Astrid,
Bayerl,Aristomachos,Astyoche,
Bayerlein,Ariston,Astyocheia,
Bayt,Aristonous,Atalanta,
Bazhunaishvili,Aristonymos,Atallo,
Bazignos,Aristophanes,Atë,
Bazille,Aristophantes,Athala,
Bazire,Aristos,Athanasia,
Bea,Aristotles,Athela,
Beakes,Aristoxenus,Athelesia,
Beam,Arius,Atheleys,
Beauchaud,Arixo,Athelflead,
Beaumanoir,Armand,Athelina,
Beaumarchais,Armando,Athelinda,
Beaumont,Armant,Athelis,
Beauregard,Armatus,Athelisa,
Beautell,Armenius,Athelisia,
Beauvais,Armentarius,Athelyna,
Beauvallet,Armin,Athis,
Becart,Armine,Atilda,
Beccatini,Arminel,Atossa,
Becchetti,Armundus,Atotz,
Becdelièvre,Arnaitz,Atsegie,
Bechmann,Arnald,Atxarte,
Bechstein,Arnaldus,Aua,
Beck,Arnalt,Auacyn,
Becker,Arnas,Auberée,
Becot,Arnaud,Aubirge,
Bedard,Arnaut,Aubourc,
Bedeschi,Arnegis,Aubreda,
Bedurftig,Arnegliscus,Aubrey,
Beduzzi,Arnet,Aude,
Beer,Arnoald,Audiarda,
Beerbaum,Arnold,Audofleda,
Beeres,Arnoldus,Audrey,
Begemann,Arnott,Audry,
Begerow,Arnoul,Audrye,
Behle,Arnould,Auekin,
Behner,Arnulf,Auelin,
Behney,Arnwald,Auelina,
Behrendt,Arold,Auelyna,
Behringer,Arotza,Auge,
Beimler,Arrabaios,Augo,
Beineix,Arrats,Augustina,
Beirnaert,Arridaios,Auic,
Beitia,Arrosko,Auice,
Bejko,Arsaphius,Auicia,
Bejta,Arsenios,Auin,
Bek,Arsenius,Auina,
